ANO;MES;DIA;HORA;TempAr
2009;1;1;0;26,5
2009;1;1;300;26
2009;1;1;600;25,5
2009;1;1;900;24,5
2009;1;1;1200;28
2009;1;1;1500;30
2009;1;1;1800;33,5
2009;1;1;2100;35
2009;1;2;0;26,5
2009;1;2;300;27
2009;1;2;600;25,5
2009;1;2;900;25
2009;1;2;1200;29,5
2009;1;2;1500;33,5
2009;1;2;1800;35
2009;1;2;2100;31,5
2009;1;3;0;26
2009;1;3;1500;30,5
2009;1;3;1800;27,5
2009;1;3;2100;22,5
2009;1;3;900;25
2009;1;3;600;25,5
2009;1;3;300;26,5
2009;1;3;1200;28
2009;1;4;2100;27,5
2009;1;4;1800;27
2009;1;4;1500;24,5
2009;1;4;0;22
2009;1;4;900;21,5
2009;1;4;600;22
2009;1;4;300;23
2009;1;4;1200;23,5
2009;1;4;2100;31,5
2009;1;5;1800;29,5
2009;1;5;1500;27
2009;1;5;0;23,5
2009;1;5;900;23,5
2009;1;5;600;22
2009;1;5;300;23,5
2009;1;5;1200;24,5
2009;1;5;2100;32,5
2009;1;6;1800;31,5
2009;1;6;1500;29,5
2009;1;6;0;22,5
2009;1;6;900;22,5
2009;1;6;600;20
2009;1;6;300;22
2009;1;6;1200;26,5
2009;1;6;2100;35,5
2009;1;7;1800;33
2009;1;7;1500;31
2009;1;7;0;23
2009;1;7;900;18,5
2009;1;7;600;22,5
2009;1;7;300;23,5
2009;1;7;1200;27,5
2009;1;7;2100;36
2009;1;7;1800;34
2009;1;8;1500;32,5
2009;1;8;0;25,5
2009;1;8;900;22
2009;1;8;600;23
2009;1;8;300;24,5
2009;1;8;1200;24,5
2009;1;8;2100;35,5
2009;1;8;1800;34,5
2009;1;9;1500;30,5
2009;1;9;0;24
2009;1;9;900;24
2009;1;9;600;25
2009;1;9;300;26,5
2009;1;9;1200;31
2009;1;9;2100;26
2009;1;9;1800;35,5
2009;1;9;1500;34
2009;1;10;0;26,5
2009;1;10;900;24
2009;1;10;600;25,5
2009;1;10;300;28
2009;1;10;1200;28
2009;1;10;2100;30,5
2009;1;10;1800;37
2009;1;10;1500;33,5
2009;1;11;0;26
2009;1;11;900;26
2009;1;11;600;24
2009;1;11;300;24,5
2009;1;11;1200;24,5
2009;1;11;2100;31
2009;1;11;1800;37,5
2009;1;11;1500;35,5
2009;1;12;0;32
2009;1;12;900;24
2009;1;12;600;24
2009;1;12;300;24,5
2009;1;12;1200;24
2009;1;12;2100;30,5
2009;1;12;1800;38
2009;1;12;1500;37,5
2009;1;12;0;34
2009;1;13;900;25
2009;1;13;600;27
2009;1;13;300;28
2009;1;13;1200;31
