,HJD,Detr_Norm_Flux
0,2454953.538373,1.00014
1,2454953.558807,1.000083
2,2454953.579242,0.999972
3,2454953.599676,1.0000870000000002
4,2454953.6201110003,1.000077
5,2454953.640545,1.0000280000000001
6,2454953.660979,1.00005
7,2454953.6814139998,1.000075
8,2454953.701848,0.999807
9,2454953.722283,1.000111
10,2454953.7427169997,
11,2454953.763152,0.9999879999999999
12,2454953.783586,1.0002959999999999
13,2454953.80402,
14,2454953.824455,0.999898
15,2454953.844889,0.9999309999999999
16,2454953.8653240004,0.9997590000000001
17,2454953.885758,0.9999389999999999
18,2454953.906193,1.0000120000000001
19,2454953.926627,0.999934
20,2454953.9470619997,0.9999950000000001
21,2454953.9674959998,0.9999969999999999
22,2454953.98793,1.000008
23,2454954.008365,0.9998670000000001
24,2454954.028799,1.0000149999999999
25,2454954.049234,0.999948
26,2454954.069668,0.999928
27,2454954.090103,0.9999120000000001
28,2454954.110537,0.9999450000000001
29,2454954.130971,0.999967
30,2454954.1514060004,0.9998
31,2454954.17184,1.000056
32,2454954.192275,0.9998469999999999
33,2454954.212709,
34,2454954.2331439997,0.999906
35,2454954.253578,0.9999879999999999
36,2454954.274012,0.9999299999999999
37,2454954.294447,0.9998549999999999
38,2454954.314881,1.000103
39,2454954.335316,
40,2454954.35575,
41,2454954.376185,0.9999969999999999
42,2454954.396619,1.000061
43,2454954.417053,
44,2454954.437488,0.999958
45,2454954.457922,1.000139
46,2454954.478357,1.000011
47,2454954.498791,0.999948
48,2454954.5192259997,0.999925
49,2454954.53966,0.999928
50,2454954.560095,
51,2454954.580529,0.999956
52,2454954.600963,1.000058
53,2454954.621398,1.000075
54,2454954.641832,0.999901
55,2454954.662267,1.0000229999999999
56,2454954.6827020003,
57,2454954.703136,0.9998870000000001
58,2454954.72357,0.999959
59,2454954.744004,1.000002
60,2454954.764439,1.00011
61,2454954.784873,0.999899
62,2454954.805308,0.999878
63,2454954.825743,0.999941
64,2454954.846176,0.999958
65,2454954.866611,1.000001
66,2454954.887045,0.9999299999999999
67,2454954.90748,1.000035
68,2454954.9279150004,0.9999969999999999
69,2454954.948349,
70,2454954.968783,0.999871
71,2454954.9892169996,0.9999610000000001
72,2454955.009652,
73,2454955.0300869998,1.000066
74,2454955.050521,1.0001959999999999
75,2454955.070956,0.999835
76,2454955.09139,
77,2454955.1118240003,1.0000129999999998
78,2454955.132259,0.999967
79,2454955.152693,
80,2454955.173128,
81,2454955.193562,0.9999879999999999
82,2454955.213997,
83,2454955.234431,0.9998819999999999
84,2454955.254865,1.000014
85,2454955.2753,1.0000129999999998
86,2454955.295734,0.999815
87,2454955.3161689998,
88,2454955.336603,
89,2454955.357037,0.999878
90,2454955.377472,0.999991
91,2454955.3979060003,
92,2454955.418341,
93,2454955.438775,0.999993
94,2454955.45921,1.000049
95,2454955.479644,1.000107
96,2454955.5000779997,
97,2454955.520513,0.999921
98,2454955.540947,0.999908
99,2454955.561382,
100,2454955.5818169997,
101,2454955.60225,0.999814
102,2454955.622685,1.000057
103,2454955.64312,1.000175
104,2454955.663554,
105,2454955.683989,0.9999290000000001
106,2454955.704423,0.9999370000000001
107,2454955.724857,1.000149
108,2454955.745292,
109,2454955.7657259996,1.0000149999999999
110,2454955.786161,0.9999299999999999
111,2454955.806595,1.000051
112,2454955.82703,
113,2454955.847464,0.999993
114,2454955.867898,
115,2454955.8883330002,1.0000440000000002
116,2454955.908767,0.9999239999999999
117,2454955.929202,0.999842
118,2454955.949636,0.999851
119,2454955.970071,1.000016
120,2454955.990505,1.000033
121,2454956.0109389997,1.000025
122,2454956.031374,1.000045
123,2454956.051809,0.999878
124,2454956.072243,1.000055
125,2454956.0926779998,0.999951
126,2454956.113111,
127,2454956.133546,1.000034
128,2454956.15398,1.0000149999999999
129,2454956.1744150002,0.999883
130,2454956.19485,0.999933
131,2454956.215284,0.999866
132,2454956.235718,0.99995
133,2454956.256153,
134,2454956.276587,1.0001360000000001
135,2454956.297022,
136,2454956.317456,0.999991
137,2454956.337891,1.000178
138,2454956.358324,0.9998950000000001
139,2454956.378759,0.999919
140,2454956.399194,0.999948
141,2454956.419628,1.000062
142,2454956.440063,0.9998739999999999
143,2454956.4604970003,0.9999959999999999
144,2454956.4809310003,1.000049
145,2454956.501366,1.000057
146,2454956.5218,1.000109
147,2454956.542235,0.999956
148,2454956.5626689997,1.000018
149,2454956.583104,
150,2454956.603539,0.9999600000000001
151,2454956.623972,0.9999370000000001
152,2454956.644407,
153,2454956.664841,1.000032
154,2454956.685276,1.000089
155,2454956.705711,
156,2454956.726145,1.000017
157,2454956.7465790003,0.999927
158,2454956.7670130003,1.000057
159,2454956.787448,1.0000879999999999
160,2454956.807883,0.9998360000000001
161,2454956.8283169996,0.999994
162,2454956.848752,1.0000129999999998
163,2454956.8691849997,0.999936
164,2454956.88962,
165,2454956.910055,
166,2454956.930489,1.000083
167,2454956.9509240002,0.9997149999999999
168,2454956.9713580003,0.9997379999999999
169,2454956.991792,0.999957
170,2454957.012226,1.000019
171,2454957.0326610003,
172,2454957.053096,
173,2454957.0735299997,0.99977
174,2454957.093965,0.9999290000000001
175,2454957.114399,0.999862
176,2454957.134833,0.9999819999999999
177,2454957.155268,0.999684
178,2454957.175702,1.0000129999999998
179,2454957.196137,0.999898
180,2454957.216571,
181,2454957.237005,1.000052
182,2454957.2574400003,1.000069
183,2454957.2778740004,1.000058
184,2454957.298309,0.9999969999999999
185,2454957.318744,0.9999540000000001
186,2454957.3391779996,0.999978
187,2454957.3596119997,
188,2454957.380046,
189,2454957.400481,
190,2454957.420916,
191,2454957.44135,
192,2454957.461785,0.993016
193,2454957.482219,0.9926229999999999
194,2454957.502653,0.992553
195,2454957.523087,0.9924299999999999
196,2454957.5435220003,0.9928309999999999
197,2454957.563957,0.993359
198,2454957.584391,0.9941540000000001
199,2454957.604826,0.998072
200,2454957.6252599997,0.999949
201,2454957.6456939997,0.999916
202,2454957.666128,
203,2454957.686563,0.999926
204,2454957.706998,0.9999120000000001
205,2454957.727433,1.000122
206,2454957.747866,1.0000200000000001
207,2454957.768301,
208,2454957.788735,1.000033
209,2454957.8091700003,0.999973
210,2454957.829605,1.000003
211,2454957.850039,0.999977
212,2454957.8704729998,
213,2454957.890907,
214,2454957.9113419997,
215,2454957.9317759997,1.000048
216,2454957.952211,1.0001309999999999
217,2454957.972646,1.000057
218,2454957.993079,0.9999540000000001
219,2454958.013514,0.999994
220,2454958.033948,0.9998819999999999
221,2454958.0543830004,0.999865
222,2454958.074818,0.9999809999999999
223,2454958.0952520003,1.000042
224,2454958.115686,1.000146
225,2454958.13612,0.9998950000000001
226,2454958.1565549998,0.999974
227,2454958.176989,1.000022
228,2454958.197424,1.000069
229,2454958.217859,0.999956
