HJD,Detr_Norm_Flux
2454953.538373,1.000140
2454953.558807,1.000083
2454953.579242,0.999972
2454953.599676,1.000087
2454953.620111,1.000077
2454953.640545,1.000028
2454953.660979,1.000050
2454953.681414,1.000075
2454953.701848,0.999807
2454953.722283,1.000111
2454953.742717,0.999986
2454953.763152,0.999988
2454953.783586,1.000296
2454953.804020,1.000008
2454953.824455,0.999898
2454953.844889,0.999931
2454953.865324,0.999759
2454953.885758,0.999939
2454953.906193,1.000012
2454953.926627,0.999934
2454953.947062,0.999995
2454953.967496,0.999997
2454953.987930,1.000008
2454954.008365,0.999867
2454954.028799,1.000015
2454954.049234,0.999948
2454954.069668,0.999928
2454954.090103,0.999912
2454954.110537,0.999945
2454954.130971,0.999967
2454954.151406,0.999800
2454954.171840,1.000056
2454954.192275,0.999847
2454954.212709,0.999907
2454954.233144,0.999906
2454954.253578,0.999988
2454954.274012,0.999930
2454954.294447,0.999855
2454954.314881,1.000103
2454954.335316,1.000048
2454954.355750,0.999982
2454954.376185,0.999997
2454954.396619,1.000061
2454954.417053,1.000159
2454954.437488,0.999958
2454954.457922,1.000139
2454954.478357,1.000011
2454954.498791,0.999948
2454954.519226,0.999925
2454954.539660,0.999928
2454954.560095,1.000236
2454954.580529,0.999956
2454954.600963,1.000058
2454954.621398,1.000075
2454954.641832,0.999901
2454954.662267,1.000023
2454954.682702,0.999984
2454954.703136,0.999887
2454954.723570,0.999959
2454954.744004,1.000002
2454954.764439,1.000110
2454954.784873,0.999899
2454954.805308,0.999878
2454954.825743,0.999941
2454954.846176,0.999958
2454954.866611,1.000001
2454954.887045,0.999930
2454954.907480,1.000035
2454954.927915,0.999997
2454954.948349,1.000103
2454954.968783,0.999871
2454954.989217,0.999961
2454955.009652,1.000092
2454955.030087,1.000066
2454955.050521,1.000196
2454955.070956,0.999835
2454955.091390,0.999718
2454955.111824,1.000013
2454955.132259,0.999967
2454955.152693,0.999929
2454955.173128,0.999949
2454955.193562,0.999988
2454955.213997,1.000262
2454955.234431,0.999882
2454955.254865,1.000014
2454955.275300,1.000013
2454955.295734,0.999815
2454955.316169,1.000007
2454955.336603,0.999900
2454955.357037,0.999878
2454955.377472,0.999991
2454955.397906,1.000011
2454955.418341,0.999841
2454955.438775,0.999993
2454955.459210,1.000049
2454955.479644,1.000107
2454955.500078,0.999961
2454955.520513,0.999921
2454955.540947,0.999908
2454955.561382,0.999951
2454955.581817,0.999987
2454955.602250,0.999814
2454955.622685,1.000057
2454955.643120,1.000175
2454955.663554,1.000049
2454955.683989,0.999929
2454955.704423,0.999937
2454955.724857,1.000149
2454955.745292,0.999969
2454955.765726,1.000015
2454955.786161,0.999930
2454955.806595,1.000051
2454955.827030,0.999940
2454955.847464,0.999993
2454955.867898,0.999920
2454955.888333,1.000044
2454955.908767,0.999924
2454955.929202,0.999842
2454955.949636,0.999851
2454955.970071,1.000016
2454955.990505,1.000033
2454956.010939,1.000025
2454956.031374,1.000045
2454956.051809,0.999878
2454956.072243,1.000055
2454956.092678,0.999951
2454956.113111,0.999857
2454956.133546,1.000034
2454956.153980,1.000015
2454956.174415,0.999883
2454956.194850,0.999933
2454956.215284,0.999866
2454956.235718,0.999950
2454956.256153,1.000094
2454956.276587,1.000136
2454956.297022,1.000060
2454956.317456,0.999991
2454956.337891,1.000178
2454956.358324,0.999895
2454956.378759,0.999919
2454956.399194,0.999948
2454956.419628,1.000062
2454956.440063,0.999874
2454956.460497,0.999996
2454956.480931,1.000049
2454956.501366,1.000057
2454956.521800,1.000109
2454956.542235,0.999956
2454956.562669,1.000018
2454956.583104,0.999962
2454956.603539,0.999960
2454956.623972,0.999937
2454956.644407,0.999758
2454956.664841,1.000032
2454956.685276,1.000089
2454956.705711,0.999910
2454956.726145,1.000017
2454956.746579,0.999927
2454956.767013,1.000057
2454956.787448,1.000088
2454956.807883,0.999836
2454956.828317,0.999994
2454956.848752,1.000013
2454956.869185,0.999936
2454956.889620,1.000034
2454956.910055,0.999821
2454956.930489,1.000083
2454956.950924,0.999715
2454956.971358,0.999738
2454956.991792,0.999957
2454957.012226,1.000019
2454957.032661,0.999913
2454957.053096,0.999992
2454957.073530,0.999770
2454957.093965,0.999929
2454957.114399,0.999862
2454957.134833,0.999982
2454957.155268,0.999684
